ADDRESS,IMAP,imap port,SMTP,smtp port
netcourrier.com,mail.netcourrier.com,993.00,mail.netcourrier.com,465.00
nigge.rs,mail.cock.li,993.00,mail.cock.li,587.00
nuke.africa,mail.cock.li,993.00,mail.cock.li,587.00
nyu.edu,imap.gmail.com,993.00,smtp.gmail.com,587.00
o2.pl,poczta.o2.pl,993.00,poczta.o2.pl,465.00
odu.edu,imap.gmail.com,993.00,smtp.gmail.com,587.00
one.com,imap.one.com,993.00,send.one.com,465.00
onenetbeyond.org,mail.autistici.org,993.00,smtp.autistici.org,465.00
onet.com.pl,imap.poczta.onet.pl,993.00,smtp.poczta.onet.pl,465.00
onet.eu,imap.poczta.onet.pl,993.00,smtp.poczta.onet.pl,465.00
onet.pl,imap.poczta.onet.pl,993.00,smtp.poczta.onet.pl,587.00
online.de,imap.1und1.de,993.00,smtp.1und1.de,465.00
op.pl,imap.poczta.onet.pl,993.00,smtp.poczta.onet.pl,465.00
opoczta.pl,imap.poczta.onet.pl,993.00,smtp.poczta.onet.pl,465.00
orange.fr,imap.orange.fr,993.00,smtp.orange.fr,465.00
outlook.at,imap-mail.outlook.com,993.00,smtp-mail.outlook.com,587.00
outlook.com,imap-mail.outlook.com,993.00,smtp-mail.outlook.com,587.00
outlook.de,imap-mail.outlook.com,993.00,smtp-mail.outlook.com,587.00
paranoici.org,mail.autistici.org,993.00,smtp.autistici.org,465.00
pm.me,127.0.0.1,1143.00,127.0.0.1,1025.00
poczta.fm,poczta.interia.pl,993.00,poczta.interia.pl,465.00
poczta.onet.pl,imap.poczta.onet.pl,993.00,smtp.poczta.onet.pl,465.00
polimi.it,outlook.office365.com,993.00,smtp.office365.com,587.00
post.com,imap.mail.com,993.00,smtp.mail.com,587.00
posteo.de,posteo.de,993.00,posteo.de,587.00
posteo.net,posteo.de,993.00,posteo.de,587.00
privacyrequired.com,mail.autistici.org,993.00,smtp.autistici.org,465.00
prokonto.pl,poczta.o2.pl,993.00,poczta.o2.pl,465.00
protonmail.ch,127.0.0.1,1143.00,127.0.0.1,1025.00
protonmail.com,127.0.0.1,1143.00,127.0.0.1,1025.00
rape.lol,mail.cock.li,993.00,mail.cock.li,587.00
redchan.it,mail.cock.li,993.00,mail.cock.li,587.00
runbox.com,mail.runbox.com,993.00,mail.runbox.com,587.00
rwth-aachen.de,mail.rwth-aachen.de,993.00,mail.rwth-aachen.de,587.00
sapo.pt,imap.sapo.pt,993.00,smtp.sapo.pt,587.00
smail.inf.h-brs.de,imap.inf.h-brs.de,993.00,smtp.inf.h-brs.de,587.00
southwales.ac.uk,imap.gmail.com,993.00,smtp.gmail.com,587.00
spoko.pl,imap.poczta.onet.pl,993.00,smtp.poczta.onet.pl,465.00
stevens.edu,imap-mail.outlook.com,993.00,smpt-mail.outlook.com,587.00
stronzi.org,mail.autistici.org,993.00,smtp.autistici.org,465.00
stud.tu-darmstadt.de,imap.stud.tu-darmstadt.de,993.00,smtp.tu-darmstadt.de,465.00
stud.uis.no,outlook.office365.com,993.00,smtp.office365.com,587.00
stud.uni-bamberg.de,outlook.office365.com,993.00,smtp.office365.com,587.00
student.rmit.edu.au,outlook.office365.com,993.00,smtp.office365.com,587.00
students.southwales.ac.uk,imap.gmail.com,993.00,smtp.gmail.com,587.00
studserv.uni-leipzig.de,studserv.uni-leipzig.de,993.00,studserv.uni-leipzig.de,25.00
subvertising.org,mail.autistici.org,993.00,smtp.autistici.org,465.00
t-online.de,secureimap.t-online.de,993.00,securesmtp.t-online.de,465.00
techie.com,imap.mail.com,993.00,smtp.mail.com,587.00
teknik.io,mail.teknik.io,993.00,mail.teknik.io,587.00
telenet.be,imap.telenet.be,993.00,smtp.telenet.be,587.00
tfwno.gf,mail.cock.li,993.00,mail.cock.li,587.00
tlen.pl,poczta.o2.pl,993.00,poczta.o2.pl,465.00
tquad.ai,imap.mail.eu-west-1.awsapps.com,993.00,smtp.mail.eu-west-1.awsapps.com,465.00
tu-harburg.de,mail.tu-harburg.de,993.00,mail.tu-harburg.de,587.00
tuhh.de,mail.tu-harburg.de,993.00,mail.tu-harburg.de,587.00
txstate.edu,outlook.office365.com,993.00,smtp.office365.com,587.00
uach.mx,imap.gmail.com,993.00,smtp.gmail.com,587.00
uni-duesseldorf.de,mail.hhu.de,993.00,mail.hhu.de,465.00
uoregon.edu,imap.uoregon.edu,993.00,smtp.uoregon.edu,587.00
uqtr.ca,outlook.office365.com,993.00,smtp.office365.com,587.00
usa.com,imap.mail.com,993.00,smtp.mail.com,587.00
utas.edu.au,outlook.office365.com,993.00,smtp.office365.com,587.00
utdallas.edu,outlook.office365.com,993.00,smtp.office365.com,587.00
uw.edu,imap.gmail.com,993.00,smtp.gmail.com,465.00
uymail.com,imap.mail.com,993.00,smtp.mail.com,587.00
vip.onet.pl,imap.poczta.onet.pl,993.00,smtp.poczta.onet.pl,465.00
vivaldi.net,imap.vivaldi.net,993.00,smtp.vivaldi.net,587.00
vp.pl,imap.poczta.onet.pl,993.00,smtp.poczta.onet.pl,465.00
vt.edu,imap.gmail.com,993.00,smtp.gmail.com,587.00
waifu.club,mail.cock.li,993.00,mail.cock.li,587.00
wanadoo.fr,imap.orange.fr,993.00,smtp.orange.fr,465.00
wants.dicksinhisan.us,mail.cock.li,993.00,mail.cock.li,587.00
wants.dicksinmyan.us,mail.cock.li,993.00,mail.cock.li,587.00
web.de,imap.web.de,993.00,smtp.web.de,587.00
wp.pl,imap.wp.pl,993.00,smtp.wp.pl,465.00
writeme.com,imap.mail.com,993.00,smtp.mail.com,587.00
ya.ru,imap.yandex.com,993.00,smtp.yandex.com,587.00
yahoo.com,imap.mail.yahoo.com,993.00,smtp.mail.yahoo.com,587.00
yahoo.fr,imap.mail.yahoo.com,993.00,smtp.mail.yahoo.com,587.00
yahoo.gr,imap.mail.yahoo.com,993.00,smtp.mail.yahoo.com,587.00
yandex.by,imap.yandex.com,993.00,smtp.yandex.com,587.00
yandex.com,imap.yandex.com,993.00,smtp.yandex.com,587.00
yandex.kz,imap.yandex.com,993.00,smtp.yandex.com,587.00
yandex.net,imap.yandex.com,993.00,smtp.yandex.com,587.00
yandex.ru,imap.yandex.com,993.00,smtp.yandex.com,587.00
yandex.ua,imap.yandex.com,993.00,smtp.yandex.com,587.00
zoho.com,imap.zoho.com,993.00,smtp.zoho.com,465.00
tlu.edu,imap-mail.outlook.com,993.00,smtp-mail.outlook.com,587.00
mailo.com,mail.mailo.com,993.00,mail.mailo.com,465.00
mail.mcgill.ca,outlook.office365.com,993.00,smtp.office365.com,587.00
ua.pt,outlook.office365.com,993.00,mail.ua.pt,25.00
studenti.unitn.it,imap.gmail.com,993,smtp.gmail.com,587
,,,,
